question,passage,label
is canada a state in the united states,"In the United States, the term ``the 51st state'' when applied to Canada can serve to highlight the similarities and close relationship between the United States and Canada. Sometimes the term is used disparagingly, intended to deride Canada as an unimportant neighbor. In the Quebec general election, 1989, the political party Parti 51 ran 11 candidates on a platform of Quebec seceding from Canada to join the United States (with its leader, André Perron, claiming Quebec could not survive as an independent nation). The party attracted just 3,846 votes across the province, 0.11% of the total votes cast. In comparison, the other parties in favour of sovereignty of Quebec in that election got 40.16% (PQ) and 1.22% (NPDQ).",0
does elena die for good in vampire diaries,"Much of Elena's story revolves around her relationships with vampires Stefan Salvatore and his older brother, Damon. It is revealed that Elena is a Petrova Doppelgänger, which is thus responsible for her being identical to her ancestor, Katherine Pierce (née Katerina Petrova). This also has the implication of making her a supernatural creature. Dobrev portrayed the ``conniving'' Katherine as well, who is opposite of Elena. The actress stated that it has been a challenge distinguishing the two, and enjoys playing them both. In the television series's fourth season, Elena becomes a vampire and deals with the struggles that come with her change. She took the cure and became human again towards the end of the sixth season. In the finale of the sixth season, Kai linked Elena to Bonnie's life by magic. Elena will only wake up when Bonnie dies in around 60 years. She was locked inside the Salvatore tomb, which was changed in the seventh season, and was relocated in Brooklyn, New York. In late 2016, when it was announced that the eighth season would be the final season, Dobrev was in talks about returning to the television series to reprise her role in the final episode. After much speculation. Dobrev's return was confirmed on January 26, 2017, via an Instagram post. Dobrev appeared in the final episode of the show as both Elena and her evil doppelgänger Katherine Pierce.",0
do they still have fox hunts in england,"Fox hunting with hounds, as a formalised activity, originated in England in the sixteenth century, in a form very similar to that practised until February 2005, when a law banning the activity in England and Wales came into force. A ban on hunting in Scotland had been passed in 2002, but it continues to be within the law in Northern Ireland and several other countries, including Australia, Canada, France, Ireland and the United States. In Australia, the term also refers to the hunting of foxes with firearms, similar to deer hunting. In much of the world, hunting in general is understood to relate to any game animals or weapons (e.g., deer hunting with bow and arrow); in Britain and Ireland, ``hunting'' without qualification implies fox hunting (or other forms of hunting with hounds--beagling, drag hunting, hunting the clean boot, mink hunting, or stag hunting), as described here.",0
is it legal to escape from prison in germany,"In Mexico, Belgium, Germany and Austria, the philosophy of the law holds that it is human nature to want to escape. In those countries, escapees who do not break any other laws are not charged for anything and no extra time is added to their sentence. However, in Mexico, officers are allowed to shoot prisoners attempting to escape and an escape is illegal if violence is used against prison personnel or property, or if prison inmates or officials aid the escape.",0
are they going to make a punisher season 2,The season is set for release in 2019.,1
is i-94 a toll road in michigan,"The first segment of what later became I-94 within the state, the Willow Run Expressway, was built near Ypsilanti and Belleville in 1941, with an easterly extension to Detroit in 1945. This expressway was initially numbered M-112. In the mid-1950s, state and federal officials planned an Interstate to replace the original route of U.S. Highway 12 (US 12). By 1960, the length of I-94 was completed from Detroit to New Buffalo. Two years later, the US 12 designation was dropped from the freeway. Subsequent extensions in the 1960s completed most of the rest of the route, including the remaining sections between Detroit and Port Huron which superseded the routing of US 25. The last segment opened to the public in 1972 when Indiana completed its connection across the state line. Since completion, I-94 has remained relatively unchanged; a few interchanges have been rebuilt, a second span was constructed for the Blue Water Bridge, and in 1987, a plane crashed on the freeway during take off from the airport in Detroit. The routing of I-94 is notable for containing the first full freeway-to-freeway interchange in the United States, connecting to the Lodge Freeway (M-10), and for comprising the first complete border-to-border toll-free freeway in a state in the United States. The highway has one auxiliary route, I-194, which serves downtown Battle Creek, and eight business routes. Various segments have been dedicated to multiple people and places.",0
can a hammer be used as a weapon,"Many martial arts employ the use of common objects as weapons; Filipino martial arts such as Eskrima include practice with machetes, canes, bamboo spears, and knives as a result of the 333 year Spanish colonization that took place in the Philippines which prohibited the ownership and use of standard swords and bladed weapons; Chinese martial arts and some Korean martial arts commonly feature the use of improvised weapons such as fans, hammers and staves. There are even some western martial arts that are based on improvised weapons such as British quarterstaff fighting and Irish stick fighting.",1
is there a difference between a confidentiality agreement and a non disclosure agreement,"A non-disclosure agreement (NDA), also known as a confidentiality agreement (CA), confidential disclosure agreement (CDA), proprietary information agreement (PIA) or secrecy agreement (SA), is a legal contract between at least two parties that outlines confidential material, knowledge, or information that the parties wish to share with one another for certain purposes, but wish to restrict access to or by third parties. The most common forms of these are in doctor--patient confidentiality (physician--patient privilege), attorney--client privilege, priest--penitent privilege, and bank--client confidentiality agreements.",0
is it legal to count cards in las vegas,"Card counting is not illegal under British law, nor is it under federal, state, or local laws in the United States provided that no external card counting device or person assists the player in counting cards. Still, casinos object to the practice, and try to prevent it, banning players believed to be counters. In their pursuit to identify card counters, casinos sometimes misidentify and ban players suspected of counting cards even if they do not.",1
do radio waves travel at the speed of light,"Radio waves are a type of electromagnetic radiation with wavelengths in the electromagnetic spectrum longer than infrared light. Radio waves have frequencies as high as 300 gigahertz (GHz) to as low as 30 hertz (Hz). At 300 GHz, the corresponding wavelength is 1 mm, and at 30 Hz is 10,000 km. Like all other electromagnetic waves, radio waves travel at the speed of light. They are generated by electric charges undergoing acceleration, such as time varying electric currents. Naturally occurring radio waves are emitted by lightning and astronomical objects.",1
do you have to pay to use the itv hub,"ITV brought out a paid subscription service called ITV Hub+ which enables viewers to watch and download shows without adverts. While abroad in another EU member state, subscribers will continue to receive access but will be limited to catch-up.",1
is the san andreas fault a transform boundary,"The San Andreas Fault is a continental transform fault that extends roughly 1,200 kilometers (750 mi) through California. It forms the tectonic boundary between the Pacific Plate and the North American Plate, and its motion is right-lateral strike-slip (horizontal). The fault divides into three segments, each with different characteristics and a different degree of earthquake risk. The slip rate along the fault ranges from 20 to 35 mm (0.79 to 1.38 in)/yr.",1
is a timber wolf the same as a gray wolf,"The gray wolf (Canis lupus), also known as the timber wolf, western wolf, or simply, wolf, is a canine native to the wilderness and remote areas of Eurasia and North America. It is the largest extant member of its family, with males averaging 43--45 kg (95--99 lb) and females 36--38.5 kg (79--85 lb). Like the red wolf, it is distinguished from other Canis species by its larger size and less pointed features, particularly on the ears and muzzle. Its winter fur is long and bushy and predominantly a mottled gray in color, although nearly pure white, red, and brown to black also occur. Mammal Species of the World (3rd ed., 2005), a standard reference work in zoology, recognises 38 subspecies of C. lupus..",1
was the battle of yorktown the last battle of the revolutionary war,"The Siege of Yorktown, also known as the Battle of Yorktown, the Surrender at Yorktown, German Battle or the Siege of Little York, ending on October 19, 1781, at Yorktown, Virginia, was a decisive victory by a combined force of American Continental Army troops led by General George Washington and French Army troops led by the Comte de Rochambeau over a British Army commanded by British peer and Lieutenant General Charles Cornwallis. The culmination of the Yorktown campaign, the siege proved to be the last major land battle of the American Revolutionary War in the North American theater, as the surrender by Cornwallis, and the capture of both him and his army, prompted the British government to negotiate an end to the conflict. The battle boosted faltering American morale and revived French enthusiasm for the war, as well as undermining popular support for the conflict in Great Britain.",1
are you in the navy if you go to the naval academy,"Students at the naval academy are addressed as Midshipman, an official military rank and paygrade. As midshipmen are actually in the United States Navy, starting from the moment that they raise their hands and affirm the oath of office at the swearing-in ceremony, they are subject to the Uniform Code of Military Justice, of which USNA regulations are a part, as well as to all executive policies and orders formulated by the Department of the Navy. The same term covers both males and females. Upon graduation, most naval academy midshipmen are commissioned as ensigns in the Navy or second lieutenants in the Marine Corps and serve a minimum of five years after their commissioning. If they are selected to serve as a pilot (aircraft), they will serve 8--11 years minimum from their date of winging, and if they are selected to serve as a naval flight officer they will serve 6--8 years. Foreign midshipmen are commissioned into the armed forces of their native countries.",1
is the book of jasher in the bible,"The Book of Jasher (also, Jashar) or the Book of the Upright or the Book of the Just Man (Hebrew: סֵפֶר הַיׇּשׇׁר‬; transliteration: sēfer hayyāšār) is an unknown book mentioned in the Hebrew Bible. The translation ``Book of the Just Man'' is the traditional Greek and Latin translation, while the transliterated form ``Jasher'' is found in the King James Bible, 1611.",0
are vw audi and porsche the same company,"Volkswagen AG (German: (ˈfɔlksˌvaːgn̩)), known internationally as the Volkswagen Group, is a German multinational automotive manufacturing company headquartered in Wolfsburg, Lower Saxony, Germany and indirectly majority owned by the Austrian Porsche-Piech family. It designs, manufactures and distributes passenger and commercial vehicles, motorcycles, engines, and turbomachinery and offers related services including financing, leasing and fleet management. In 2016, it was the world's largest automaker by sales, overtaking Toyota and keeping this title in 2017, selling 10.7 million vehicles. It has maintained the largest market share in Europe for over two decades. It ranked sixth in the 2017 Fortune Global 500 list of the world's largest companies. Volkswagen Group sells passenger cars under the Audi, Bentley, Bugatti, Lamborghini, Porsche, SEAT, Škoda and Volkswagen marques; motorcycles under the Ducati brand; and commercial vehicles under the marques MAN, Scania, and Volkswagen Commercial Vehicles. It is divided into two primary divisions, the Automotive Division and the Financial Services Division, and as of 2008 had approximately 342 subsidiary companies. VW also has two major joint-ventures in China (FAW-Volkswagen and SAIC Volkswagen). The company has operations in approximately 150 countries and operates 100 production facilities across 27 countries.",1
does a sim free phone lock to a network,"A SIM lock, simlock, network lock, carrier lock or (master) subsidy lock is a technical restriction built into GSM and CDMA mobile phones by mobile phone manufacturers for use by service providers to restrict the use of these phones to specific countries and/or networks. This is in contrast to a phone (retrospectively called SIM-free or unlocked) that does not impose any SIM restrictions.",0
does the right atrium receive blood from the lungs,"Humans have a four-chambered heart consisting of the right atrium, left atrium, right ventricle, and left ventricle. The atria are the two upper chambers. The right atrium receives and holds deoxygenated blood from the superior vena cava, inferior vena cava, anterior cardiac veins and smallest cardiac veins and the coronary sinus, which it then sends down to the right ventricle (through the tricuspid valve) which in turn sends it to the pulmonary artery for pulmonary circulation. The left atrium receives the oxygenated blood from the left and right pulmonary veins, which it pumps to the left ventricle (through the mitral valve) for pumping out through the aorta for systemic circulation.",1
does the state of kansas have the death penalty,Capital punishment is a legal penalty in the U.S. state of Kansas but it is rarely used.,1
can you mail something with no return address,"The return address is not required on postal mail. However, lack of a return address prevents the postal service from being able to return the item if it proves undeliverable; such as from damage, postage due, or invalid destination. Such mail may otherwise become dead letter mail.",1
is there an age limit to compete in the olympics,"In the latter half of the 20th century, a series of controversies arose with regard to gymnast ages, some of them leading to sanctions by FIG, and paving the way for the age requirements to be raised from 14 to 15 in 1981, and then to 16 in 1997.",1
will there be another season of ad the bible continues,"A.D. The Bible Continues (also known as A.D. Kingdom and Empire) is a television miniseries, based on the Bible, and a sequel to the 2013 miniseries, The Bible. It is produced by Roma Downey, Mark Burnett, and Richard Bedser. The limited series began airing on NBC on Easter Sunday, April 5, 2015, in twelve weekly one-hour episodes. The story takes place immediately after the events of The Bible miniseries, beginning with the crucifixion and resurrection of Jesus, and continues with the first ten chapters of the Acts of the Apostles. On July 3, 2015, NBC cancelled A.D. The Bible Continues after one season. However, producers Burnett and Downey plan future biblical productions on their OTT digital channel.",0
is checkmate the only way to win at chess,"Before about 1600, the game could also be won by capturing all of the opponent's pieces, leaving just a bare king. This style of play is now called annihilation or robado. In Medieval times players began to consider it nobler to win by checkmate, so annihilation became a half-win for a while, until it was abandoned.",1
are st bernards and bernese mountain dogs related,"The breed is strikingly similar to the English Mastiff, with which it shares a common ancestor known as the Alpine Mastiff. The modern St. Bernard breed is radically different than the original dogs kept at the St. Bernard hospice, most notably by being much larger in size and build. Since the late 1800s, the St. Bernard breed has been ever refined and improved using many different large Molosser breeds, including the Newfoundland, Great Pyrenees, Greater Swiss Mountain Dog, Bernese Mountain Dog, Great Dane, English Mastiff, and possibly the Tibetan Mastiff and Caucasian Ovcharka. Other breeds such as the Rottweiler, Boxer, and English Bulldog may have contributed to the St. Bernard's bloodline as well. It is suspected that many of these large breeds were used to redevelop each other to combat the threat of their extinction after World War II, which may explain why all of them played a part in the creation of the St. Bernard as seen today.",1
did tom hardy won an oscar for the revenant,"The following is a list of awards and nominations received by English actor Tom Hardy. He was nominated for the Academy Award for Best Supporting Actor for the 2015 film The Revenant. He also won the 2011 BAFTA Rising Star Award, and has twice won the British Independent Film Award for Best Actor, for Bronson (2009) and Legend (2015).",0
will there be a season 5 the 100,"In March 2017, The CW renewed the series for a fifth season, which premiered on April 24, 2018. In May 2018, the series was renewed for a sixth season.",1
is there a disorder for being obsessed with someone,"In psychology, relationship obsessive--compulsive disorder (ROCD) is a form of obsessive--compulsive disorder focusing on intimate relationships. Such obsessions can become extremely distressing and debilitating, having negative impacts on relationships functioning.",1
does the world cup trophy have a name,"The subsequent trophy, called the ``FIFA World Cup Trophy'', was introduced in 1974. Made of 18 carat gold with bands of malachite on its base, it stands 36.8 centimetres high and weighs 6.1 kilograms. The trophy was made by Stabilimento Artistico Bertoni company in Italy. It depicts two human figures holding up the Earth. The current holders of the trophy are France, winners of the 2018 World Cup.",0
is there anything higher than a 100 dollar bill,"Large denominations of United States currency greater than $100 were circulated by the United States Treasury until 1969. Since then, U.S. dollar banknotes have only been issued in seven denominations: $1, $2, $5, $10, $20, $50, and $100.",0
does the spanish alphabet have more letters than the english alphabet,"The Spanish language is written using the Spanish alphabet, which is the Latin script with one additional letter: eñe ``ñ'', for a total of 27 letters. Although the letters ``k'' and ``w'' are part of the alphabet, they appear only in loanwords such as karate, kilo, waterpolo and wolframio (tungsten). Each letter has a single official name according to the Real Academia Española's new 2010 Common Orthography, but in some regions alternative traditional names coexist as explained below. The digraphs ``ch'' and ``ll'' were considered letters of the alphabet from 1754 to 2010 (and sorted separately from ``c'' and ``l'' from 1803 to 1994). The digraph ``rr'' is occasionally considered a letter, but officially it was never so.",1
is there free to air tv in the usa,"In the United States, television is available via broadcast (also known as ``over-the-air'' or OTA) -- the earliest method of receiving television programming, which merely requires an antenna and an equipped internal or external tuner capable of picking up channels that transmit on the two principal broadcast bands, very high frequency (VHF) and ultra high frequency (UHF), in order to receive the signal -- and four conventional types of multichannel subscription television: cable, unencrypted satellite (``free-to-air''), direct-broadcast satellite television and IPTV (internet protocol television). There are also competing video services on the World Wide Web, which have become an increasingly popular mode of television viewing since the late 2000s, particularly with younger audiences as an alternative or a supplement to the aforementioned traditional forms of viewing television content.",1
does steph curry have a brother in the nba,"Seth Adham Curry (born August 23, 1990) is an American professional basketball player for the Portland Trail Blazers of the National Basketball Association (NBA). He played college basketball for one year with the Liberty Flames before transferring to the Duke Blue Devils. He is the son of former NBA player Dell Curry and the younger brother of NBA player Stephen Curry.",1
is there a season 5 of prison break,"The fifth season of Prison Break (also known as Prison Break: Resurrection) is a limited event television series and a revival of the original series created by Paul Scheuring that aired on Fox from 2005 to 2009. The season is produced by 20th Century Fox Television in association with Adelstein/Parouse Productions and Original Film. Paul Scheuring serves as showrunner, with himself, Marty Adelstein, Neal H. Moritz and Dawn Olmstead, Vaun Wilmott, Michael Horowitz and Nelson McCormick serving as executive producers. McCormick also serves as director. The season premiered on April 4, 2017, and concluded on May 30, 2017, consisting of 9 episodes.",1
was san luis rey de francia always a mission,"With secularization of the mission in 1834, no religious services were held and the Luiseño were left behind by the fleeing Franciscan padres. The Mission's religious services restarted in 1893, when two Mexican priests were given permission to restore the Mission as a Franciscan college. Father Joseph O'Keefe was assigned as an interpreter for the monks. It was he who began to restore the old Mission in 1895. The cuadrángulo (quadrangle) and church were completed in 1905. San Luis Rey College was opened as a seminary in 1950, but closed in 1969.",0
is there a republican majority in the senate,"The One Hundred Fifteenth United States Congress is the current meeting of the legislative branch of the United States federal government, composed of the Senate and the House of Representatives. It meets in Washington, D.C. from January 3, 2017, to January 3, 2019, during the final weeks of Barack Obama's presidency and the first two years of Donald Trump's presidency. The November 2016 elections maintained Republican control of both the House and Senate.",1
are liquor stores open on memorial day oklahoma,"It is illegal to sell packaged liquor (off-premises sales) on Sundays. Sales also are prohibited on Memorial Day, Independence Day, Labor Day, Thanksgiving Day, and Christmas Day. Low-point beer for consumption off-premises may not be sold between 2:00 a.m. and 6:00 a.m.",0
does the little girl in the movie crash die,"Farhad locates Daniel's house and waits in ambush. As he confronts Daniel with his gun in hand, Lara jumps into Daniel's arms, attempting to protect her father with the ``invisible cloak.'' Daniel's wife Elizabeth runs out the front door and watches in horror as Farhad shoots Lara. Daniel clutches his daughter as Fahrad stands shocked as both realized she has not been hit by any bullet. Daniel runs into the house with his wife and daughter, leaving Fahrad outside. Farhad later tells his daughter that he believes the little girl was his guardian angel, preventing him from committing a terrible crime. Dorri is then shown with the box of bullets she had purchased, labeled as blanks.",0
is a crossover the same as an suv,"A crossover or crossover utility vehicle (CUV) is a vehicle built on a unibody car platform combining in highly variable degrees features of a sport utility vehicle (SUV) with those of a passenger vehicle, especially a station wagon or hatchback.",0
is hawaii part of the united states territory,"The Territory of Hawaii or Hawaii Territory was an organized incorporated territory of the United States that existed from August 12, 1898, until August 21, 1959, when most of its territory, excluding Palmyra Island and the Stewart Islands, was admitted to the Union as the fiftieth U.S. state, the State of Hawaii. The Hawaii Admission Act specified that the State of Hawaii would not include the distant Palmyra Island, the Midway Islands, Kingman Reef, and Johnston Atoll, which includes Johnston (or Kalama) Island and Sand Island, and the Act was silent regarding the Stewart Islands.",1
can you get a misdemeanor expunged in texas,"Texas expungement law allows expungement of arrests which did not lead to a finding of guilt, and class C misdemeanors if the defendant received deferred adjudication, and completed a community supervision. If the defendant was found guilty, pleaded guilty, or pleaded no contest to any offense other than a class ``C'' misdemeanor, it is not eligible for expungement; however, it may be eligible for non-disclosure if deferred adjudication was granted.",1
do dalmatians have spots when they are born,"Dalmatian puppies are born with plain white coats and their first spots usually appear within 3 to 4 weeks after birth, however spots are visible on their skin. After about a month, they have most of their spots, although they continue to develop throughout life at a much slower rate. Spots usually range in size from 30 to 60 mm, and are most commonly black or brown (liver) on a white background. Other, more rare colors, include blue (a blue-grayish color), brindle, mosaic, tricolor-ed (with tan spotting on the eyebrows, cheeks, legs, and chest), and orange or lemon (dark to pale yellow). Patches of color may appear anywhere on the body, mostly on the head or ears, and usually, consist of a solid color. Patches are visible at birth and are not a group of connected spots and are identifiable by the smooth edge of the patch.",0
is mary ann from gilligan's island still alive,"Dawn Elberta Wells (born October 18, 1938) is an American actress who is best known for her role as Mary Ann Summers on the CBS sitcom Gilligan's Island. She and Tina Louise are the last surviving regular cast members from that series.",1
is the vagus nerve part of the cns,"The vagus nerve (/ˈveɪɡəs/ VAY-gəs), historically cited as the pneumogastric nerve, is the tenth cranial nerve or CN X, and interfaces with parasympathetic control of the heart, lungs, and digestive tract. The vagus nerves are paired; however, they are normally referred to in the singular. It is the longest nerve of the autonomic nervous system in the human body. The vagus nerve also has a sympathetic function via the peripheral chemoreceptors.",0
has there ever been a american ninja warrior,"To date only two competitors, rock-climbers Isaac Caldiero and Geoff Britten, have finished the course and achieved ``Total Victory''. Caldiero is the only competitor to win the cash prize. The series premiered on December 12, 2009 on the now-defunct cable channel G4 and now airs on NBC with encore episodes airing on USA Network and NBCSN.",1
will one tree hill return for season 10,"The ninth and final season of One Tree Hill, an American television series created by Mark Schwahn for The WB Television Network. The series was officially renewed by The CW for a ninth season on May 17, 2011; two days later, the network announced that the ninth season would serve as the series' final season. Premiering on January 11, 2012, the series aired its 13 episodes uninterrupted.",0
is there really a porpoise spit in australia,"Muriel's Wedding is a 1994 Australian comedy-drama film written and directed by P.J. Hogan. The film, which stars actors Toni Collette, Rachel Griffiths, Jeanie Drynan, Sophie Lee, and Bill Hunter, focuses on the socially awkward Muriel whose ambition is to have a glamorous wedding and improve her personal life by moving from her dead end home town, the fictional Porpoise Spit, to Sydney.",0
does only the winner get money on tipping point,"Tipping Point is a British television game show which began airing on ITV on 2 July 2012, and is presented by Ben Shephard. Four contestants answer general knowledge questions to win counters which they use on a large coin pusher arcade-style machine. Only the winner at the end has a chance to take home any money; the others leave with nothing except any non-cash prizes they may have won during the game.",1
is gdp per capita the same as average income,"Since 1980, U.S. gross domestic product (GDP) per capita has increased 67%, while median household income has only increased by 15%. Median household income is a politically sensitive indicator. Voters can be critical of their government if they perceive that their cost of living is rising faster than their income.",0
can ingrown toenails come back after being removed,"Surgical treatments of ingrown toenails include a number of different options. If conservative treatment of a minor ingrown toenail does not succeed or if the ingrown toenail is severe, surgical management is recommended by a podiatrist. The initial surgical approach is typically a partial avulsion of the nail plate known as a wedge resection or a complete removal of the toenail. If the ingrown toenail reoccurs despite this treatment, destruction of the germinal matrix with phenol is recommended. Antibiotics are not needed if surgery is performed.",1
can a boat sail faster than the wind,"High-performance sailing is achieved with low forward surface resistance--encountered by catamarans, sailing hydrofoils, iceboats or land sailing craft--as the sailing craft obtains motive power with its sails or aerofoils at speeds that are often faster than the wind.",1
is adjusted gross income same as taxable income,"In the United States income tax system, adjusted gross income (AGI) is an individual's total gross income minus specific deductions. Taxable income is adjusted gross income minus allowances for personal exemptions and itemized deductions. For most individual tax purposes, AGI is more relevant than gross income.",0
does robert's rules of order allow proxy voting,"Proxy voting is automatically prohibited in organizations that have adopted Robert's Rules of Order Newly Revised (RONR) or The Standard Code of Parliamentary Procedure (TSC) as their parliamentary authority, unless it is provided for in its bylaws or charter or required by the laws of its state of incorporation. Robert's Rules says, ``If the law under which an organization is incorporated allows proxy voting to be prohibited by a provision of the bylaws, the adoption of this book as parliamentary authority by prescription in the bylaws should be treated as sufficient provision to accomplish that result''. Demeter says the same thing, but also states that ``if these laws do not prohibit voting by proxy, the body can pass a law permitting proxy voting for any purpose desired.'' RONR opines, ``Ordinarily it should neither be allowed nor required, because proxy voting is incompatible with the essential characteristics of a deliberative assembly in which membership is individual, personal, and nontransferable. In a stock corporation, on the other hand, where the ownership is transferable, the voice and vote of the member also is transferable, by use of a proxy.'' While Riddick opines that ``proxy voting properly belongs in incorporate organizations that deal with stocks or real estate, and in certain political organizations,'' it also states, ``If a state empowers an incorporated organization to use proxy voting, that right cannot be denied in the bylaws.'' Riddick further opines, ``Proxy voting is not recommended for ordinary use. It can discourage attendance, and transfers an inalienable right to another without positive assurance that the vote has not been manipulated.''",0
can you do a jump shot on a free throw,"Leaving their designated places before the ball leaves the shooter's hands, or interfering with the ball, are violations. In addition, the shooter must release the ball within five seconds (ten seconds in the United States) and must not step on or over the free throw line until the ball touches the hoop. Players are, however, permitted to jump while attempting the free throw, provided they do not leave the designated area at any point. A violation by the shooter cancels the free throw; a violation by the defensive team results in a substitute free throw if the shooter missed; a violation by the offensive team or a shot that completely misses the hoop results in the loss of possession to the defensive team (only if it is on the last free throw).",1
do monster energy drinks have alcohol in them,"The ingredients include carbonated water, sucrose, glucose, citric acid, natural flavors, taurine, sodium citrate, color added, panax ginseng root extract, L-carnitine, caffeine, sorbic acid, benzoic acid, niacinamide, sodium chloride, Glycine max glucuronolactone, inositol, guarana seed extract, pyridoxine hydrochloride, sucralose, riboflavin, maltodextrin, and cyanocobalamin.",0
can i have dual citizenship in us and czech republic,"The citizenship law of the Czech Republic is based on the principles of jus sanguinis or ``right by blood''. In other words, descent from a Czech parent is the primary method of acquiring Czech citizenship (together with naturalisation). Birth on Czech territory without a Czech parent is in itself insufficient for the conferral of Czech citizenship. Every Czech citizen is also a citizen of the European Union. The law came into effect on 1 January 1993, the date of the dissolution of Czechoslovakia, and has been amended in 1993, 1995, 1996, 1999, 2002, 2003 and 2005. Since 1 January 2014, multiple citizenship under Czech law is allowed.",1
was the lizzie mcguire movie filmed in rome,"The film, produced by Stan Rogow, was directed by Jim Fall from a screenplay by Susan Estelle Jansen, Ed Decter and John J. Strauss and filmed on location in Rome, Italy in the fall of 2002. All the series characters reprised their roles except for Lalaine (Miranda Sanchez), who left the series late in the second season to film the Disney Channel original movie You Wish! Her character was said to be on vacation with her family in Mexico City.",1
do they have mother's day in other countries,"Mother's Day is a celebration honoring the mother of the family, as well as motherhood, maternal bonds, and the influence of mothers in society. It is celebrated on various days in many parts of the world, most commonly in the months of March or May. It complements similar celebrations honoring family members, such as Father's Day, Siblings Day, and Grandparents Day.",1
did the jamaican bobsled team carry the sled,"The 1988 team was the inspiration for the film Cool Runnings (1993). The characters in the film are fictional, although original footage of the crash during a qualifier is used during the film. The film's depiction of the post-crash rescue was changed to show the bobsledders carrying the sled over the line on their shoulders for dramatic effect.",0
can a passport card be used for real id,"The U.S. Passport Card is the de facto national identification card of the United States and a limited travel document issued by the federal government of the United States in the size of a credit card. Like a U.S. passport book, the passport card is only issued to U.S. citizens and U.S. nationals exclusively by the U.S. Department of State and is compliant to the standards for identity documents set by the REAL ID Act and can be used as proof of U.S. citizenship. The passport card's intended primary purpose is for identification and to allow cardholders to travel by domestic air flights within the United States and to enter and exit the United States via land and sea between member states of the Western Hemisphere Travel Initiative (WHTI). However, the passport card cannot be used for international air travel.",1
can i have multiple foreign keys in a table,"A table may have multiple foreign keys, and each foreign key can have a different parent table. Each foreign key is enforced independently by the database system. Therefore, cascading relationships between tables can be established using foreign keys.",1
is it law to get paid maternity leave,"This is one of the lowest levels of leave in the industrialized world. In comparison to other countries, the United States is one of the only countries in the world, and the only OECD member, that has not passed laws requiring business and corporations to offer paid maternity leave to their employees.",0
is the load the pivot point of a lever,"A lever (/ˈliːvər/ or US: /ˈlɛvər/) is a simple machine consisting of a beam or rigid rod pivoted at a fixed hinge, or fulcrum. A lever is a rigid body capable of rotating on a point on itself. On the basis of the location of fulcrum, load and effort, the lever is divided into three types. It is one of the six simple machines identified by Renaissance scientists. A lever amplifies an input force to provide a greater output force, which is said to provide leverage. The ratio of the output force to the input force is the mechanical advantage of the lever.",0
is there a zoo in las vegas nevada,"The Southern Nevada Zoological-Botanical Park, informally known as the Las Vegas Zoo, was a 3-acre (1.2 ha), nonprofit Zoological park and botanical garden located in Las Vegas, Nevada that closed in September 2013. It was located northwest of the Las Vegas Strip, about 15 minutes away. It focused primarily on the education of desert life and habitat protection. Its mission statement was to ``educate and entertain the public by displaying a variety of plants and animals''. An admission fee was charged. The park included a small gem exhibit area and a small gift shop at the main exit. The gift shop and admission fees helped support the zoo.",1
is the ranch filmed in front of a live audience,"The Ranch is an American comedy web television series starring Ashton Kutcher, Danny Masterson, Debra Winger, Elisha Cuthbert, and Sam Elliott that debuted in 2016 on Netflix. The show takes place on the fictional Iron River Ranch in the fictitious small town of Garrison, Colorado; detailing the life of the Bennetts, a dysfunctional family consisting of two brothers, their rancher father, and his divorced wife and local bar owner. While the opening sequence shows scenes from Norwood and Ouray, Colorado and surrounding Ouray and San Miguel Counties, The Ranch is filmed on a sound stage in front of a live audience in Burbank, California. Each season consists of 20 episodes broken up into two parts, each containing 10 episodes.",1
is a ribeye steak the same as a delmonico steak,Delmonico steak (or steak Delmonico) is a particular preparation of one of several cuts of beef (typically the ribeye) originated by Delmonico's restaurant in New York City during the mid-19th century. Controversy exists about the specific cut of steak that Delmonico's originally used.,0
is displacement current like conduction current a source of magnetic field,"In electromagnetism, displacement current density is the quantity ∂D/∂t appearing in Maxwell's equations that is defined in terms of the rate of change of D, the electric displacement field. Displacement current density has the same units as electric current density, and it is a source of the magnetic field just as actual current is. However it is not an electric current of moving charges, but a time-varying electric field. In physical materials (as opposed to vacuum), there is also a contribution from the slight motion of charges bound in atoms, called dielectric polarization.",1
are zip code and postal code the same,"A postal code (also known locally in various English-speaking countries throughout the world as a postcode, post code, Eircode, PIN Code or ZIP Code) is a series of letters or digits or both, sometimes including spaces or punctuation, included in a postal address for the purpose of sorting mail.",1
did i am they get a new singer,"In April 2017, a new vocalist, Houston resident Jon McConnell, was introduced with the release of the band's new song, Crown Him.",1
